Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
global_uptime_23,1,7w_9142kb,3174.284,3096.446,3182.031,3225.302,3239.597,3274.087,3239.445,3251.029,3206.576,3175.261,3114.144,3182.4,3205.816,3214.058,3200.242,3176.41,3230.922,3129.484,3211.468,3225.86,3159.377,3163.221,3185.769,3162.574,3088.394,3182.192,3182.324,3229.837,3287.481,3171.609
global_uptime_24,0,26w_2461kb,0.694,0.547,0.488,0.614,0.631,0.583,0.702,0.54,0.525,0.503,0.536,0.999,0.79,0.548,0.517,0.561,0.498,0.486,0.655,0.464,0.687,0.633,0.503,0.462,0.542,0.62,0.702,0.622,0.536,0.498
global_uptime_24,1,26w_2461kb,3328.981,3312.285,3229.208,3310.846,3229.874,3195.248,3268.158,3211.345,3241.56,3142.952,3235.736,3248.179,3306.128,3268.514,3213.907,3282.307,3281.772,3202.376,3159.661,3341.347,3237.415,3212.841,3221.384,3225.365,3402.752,3275.67,3323.864,3257.289,3187.628,3193.03
global_uptime_25,0,22w_2909kb,1.114,0.526,0.517,0.511,0.48,0.614,0.606,0.491,0.648,0.539,0.627,0.529,0.728,0.495,0.535,0.703,0.543,0.491,0.498,0.631,0.664,0.488,0.621,0.505,0.877,0.493,0.612,0.71,0.531,0.922
global_uptime_25,1,22w_2909kb,3187.498,3255.321,3181.806,3189.889,3226.123,3232.028,3246.186,3189.178,3200.975,3142.32,3119.089,3116.682,3178.529,3293.942,3206.164,3259.445,3215.082,3235.463,3183.308,3140.157,3191.058,3222.652,3160.399,3166.326,3203.472,3268.231,3317.082,3244.277,3165.403,3175.5
global_uptime_26,0,31w_2064kb,0.802,0.503,0.686,0.645,0.805,0.541,1.165,0.47,0.483,0.483,0.477,0.414,0.623,0.497,0.644,0.497,0.517,0.517,0.988,0.608,0.562,0.573,0.461,0.405,0.501,0.604,0.516,0.557,0.491,0.643
global_uptime_26,1,31w_2064kb,3335.954,3248.339,3236.653,3207.015,3195.831,3223.374,3153.822,3237.427,3149.101,3182.325,3128.362,3142.771,3226.945,3293.813,3164.179,3167.343,3194.614,3181.987,3114.539,3247.06,3234.936,3171.227,3104.84,3161.51,3196.142,3227.484,3118.001,3229.626,3345.273,3341.305
global_uptime_27,0,10w_6400kb,1.411,0.696,0.728,0.53,0.57,0.768,0.512,0.548,0.619,0.533,0.608,0.768,0.537,0.534,0.519,0.838,0.498,0.732,0.674,0.533,0.528,0.487,0.885,0.583,0.785,0.565,0.545,0.782,0.573,0.525
global_uptime_27,1,10w_6400kb,3384.37,3368.191,3290.582,3291.89,3398.096,3193.991,3282.237,3295.337,3269.951,3367.313,3291.757,3192.389,3331.59,3348.69,3341.861,3348.318,3291.435,3313.744,3455.693,3319.23,3426.736,3381.562,3497.85,3457.0,3226.572,3368.235,3249.877,3349.049,3447.526,3436.332
global_uptime_28,0,6w_10666kb,0.798,0.676,0.508,0.483,0.501,0.624,0.646,0.668,0.789,0.519,0.49,0.532,0.465,0.647,0.488,0.493,0.499,0.571,1.029,0.5,0.774,0.587,0.668,0.525,0.731,0.497,0.554,0.55,0.49,0.515
global_uptime_28,1,6w_10666kb,3259.374,3290.831,3144.126,3215.4,3219.238,3227.869,3220.477,3246.491,3273.611,3210.888,3222.786,3133.567,3113.235,3168.372,3147.053,3180.627,3236.262,3195.43,3234.4,3202.682,3215.518,3265.708,3198.919,3290.052,3169.117,3239.603,3152.625,3322.12,3284.622,3246.178
global_uptime_29,0,9w_7111kb,1.029,0.504,0.754,0.499,0.686,0.477,0.57,0.516,0.521,0.563,0.746,0.436,0.557,0.524,0.508,0.484,0.833,0.499,0.52,0.498,0.601,0.557,0.733,0.542,0.576,0.69,0.582,0.525,0.506,0.416
global_uptime_29,1,9w_7111kb,3212.944,3188.717,3228.364,3169.897,3192.246,3117.581,3164.633,3161.816,3148.196,3191.095,3190.211,3255.745,3228.515,3171.608,3129.203,3268.967,3254.621,3177.119,3157.141,3218.855,3237.718,3281.922,3293.799,3246.992,3236.224,3117.672,3204.252,3243.016,3243.75,3126.749
global_uptime_30,0,13w_4923kb,1.044,0.645,0.692,0.59,0.654,0.48,0.831,0.596,0.478,0.519,0.65,0.471,0.524,0.648,0.63,1.039,0.432,0.861,0.535,0.532,0.512,0.565,0.509,0.605,0.484,0.559,0.623,0.474,0.845,0.528
global_uptime_30,1,13w_4923kb,3419.433,3346.116,3407.608,3303.566,3257.231,3294.492,3198.147,3197.535,3277.572,3262.975,3260.635,3143.33,3345.603,3312.341,3285.89,3244.038,3301.157,3240.582,3348.142,3240.865,3339.632,3215.394,3207.056,3276.059,3168.491,3301.565,3338.136,3382.191,3284.019,3219.902
global_uptime_31,0,15w_4266kb,0.862,0.898,0.478,0.414,0.562,0.563,0.66,0.727,0.538,0.552,0.621,0.511,0.557,0.509,0.633,0.513,0.635,0.499,0.501,0.672,0.949,0.497,0.696,0.848,0.537,0.525,0.643,0.521,0.483,0.58
global_uptime_31,1,15w_4266kb,3264.646,3308.139,3325.037,3414.292,3241.949,3391.142,3314.157,3432.481,3441.163,3277.944,3387.644,3337.238,3308.836,3271.245,3293.52,3280.728,3351.445,3350.315,3342.963,3336.545,3349.429,3240.563,3246.573,3186.094,3470.565,3315.379,3187.322,3235.029,3345.033,3342.478
