Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_uptime_22,0,28w_2285kb,0.804,0.839,0.653,0.604,0.533,0.676,0.753,0.776,0.593,0.486,0.737,0.493,0.83,0.746,0.602,0.761,0.575,0.58,0.506,0.485,0.566,0.667,0.699,0.633,0.568,0.58,0.694,0.694,0.953,0.529
resource_uptime_22,1,28w_2285kb,63.831,57.581,57.784,56.468,58.532,62.332,59.062,57.839,60.392,55.588,55.552,55.641,57.852,55.054,56.794,57.667,59.883,58.785,57.743,56.822,58.944,63.137,58.458,58.774,57.707,58.884,59.888,58.168,58.869,59.305
resource_uptime_23,0,7w_9142kb,0.992,0.696,0.607,0.655,0.539,0.516,0.446,0.59,0.57,0.549,0.694,0.598,0.846,0.461,0.537,0.551,0.563,0.744,0.569,0.667,0.445,0.512,0.722,0.586,0.54,0.527,0.576,0.537,0.539,0.561
resource_uptime_23,1,7w_9142kb,62.998,59.837,63.808,62.952,57.866,56.958,65.656,57.119,58.654,61.233,59.558,57.317,63.081,55.014,58.835,56.643,57.393,58.834,57.085,59.534,63.632,62.856,58.698,56.979,52.377,53.836,53.795,52.167,55.505,59.188
resource_uptime_24,0,26w_2461kb,0.8,0.68,0.774,0.556,0.62,0.565,0.682,0.705,0.637,0.518,0.521,0.467,0.656,0.512,0.525,0.555,0.608,0.608,0.449,0.565,0.719,0.624,0.617,0.689,0.787,0.599,0.58,0.719,0.586,0.564
resource_uptime_24,1,26w_2461kb,73.931,57.595,61.935,61.766,57.49,55.548,57.858,61.013,57.154,58.17,59.09,53.921,55.994,53.633,58.164,59.086,57.582,55.593,62.844,63.049,59.135,58.61,59.858,57.822,58.464,57.69,59.405,57.229,57.667,60.47
resource_uptime_25,0,22w_2909kb,1.051,0.661,0.562,0.527,0.739,0.635,0.553,0.734,0.587,0.74,0.551,0.439,0.431,0.793,0.544,0.745,0.618,0.525,0.626,0.535,0.729,0.506,0.691,0.597,0.695,0.918,0.668,0.541,0.539,0.575
resource_uptime_25,1,22w_2909kb,65.34,64.032,60.636,59.772,62.767,62.163,59.616,60.421,68.19,60.299,60.667,54.276,55.831,61.805,55.987,57.734,57.909,70.379,67.143,53.976,58.479,65.438,58.957,59.731,64.418,58.388,65.01,72.766,58.183,65.087
resource_uptime_26,0,31w_2064kb,0.757,0.584,0.716,0.515,0.626,0.512,0.517,0.448,0.543,0.519,0.619,0.464,0.594,0.574,0.756,0.545,0.543,0.592,0.555,0.677,0.833,0.663,0.578,0.751,0.564,0.553,0.601,0.557,0.589,0.533
resource_uptime_26,1,31w_2064kb,66.247,56.975,67.79,54.532,57.002,53.354,54.909,54.595,60.445,56.128,57.864,56.346,56.711,54.974,60.91,59.941,59.201,57.963,60.418,59.82,65.085,66.852,64.563,61.383,65.015,54.793,60.727,55.398,60.393,56.092
